# Alert applicability: the systems each declaration's rule covers.
# Each cell is Y where the declaration applies and . where it does not.
# Generated by test_applicability_matrix.py -- do not edit by hand.
#
# Kinds: class  -- the class applies: displayed, sent, and offered in the catalogue
#        listed -- the class is offered in the settings catalogue, which listed_only_when narrows
#        source -- the source's rule admits this system. Whether it is actually ran also
#                  turns on gates this matrix does not model: post_failover_blackout,
#                  require_stable_peer, the source's schedule, and source locks.
#
# Populations:
#   G    GENERIC     unlicensed            whitebox, unlicensed
#   C0   MINI        unlicensed            Mini, unlicensed
#   C    MINI        licensed              Mini with a MINI-R license
#   A    TRUENAS_HW  unlicensed            iX appliance reading MANUAL, unlicensed (R-series)
#   B    TRUENAS_HW  licensed              iX appliance with a FREENAS-CERTIFIED license
#   Di   GENERIC     licensed              whitebox with a transplanted M50 license
#   HA   TRUENAS_HW  licensed   ha_capable iX appliance with an HA license

DECLARATION                                 KIND    G   C0  C   A   B   Di  HA
Sensors                                     source  .   .   .   Y   Y   .   Y
ShareLocked                                 class   Y   Y   Y   Y   Y   Y   Y
ShareLocked                                 listed  Y   Y   Y   Y   Y   Y   Y
SnapshotCount                               class   Y   Y   Y   Y   Y   Y   Y
SnapshotCount                               listed  Y   Y   Y   Y   Y   Y   Y
SnapshotCount                               source  Y   Y   Y   Y   Y   Y   Y
SnapshotFailed                              class   Y   Y   Y   Y   Y   Y   Y
SnapshotFailed                              listed  Y   Y   Y   Y   Y   Y   Y
SnapshotTotalCount                          class   Y   Y   Y   Y   Y   Y   Y
SnapshotTotalCount                          listed  Y   Y   Y   Y   Y   Y   Y
SyslogNg                                    class   Y   Y   Y   Y   Y   Y   Y
SyslogNg                                    listed  Y   Y   Y   Y   Y   Y   Y
SyslogNg                                    source  Y   Y   Y   Y   Y   Y   Y
SystemTesting                               class   Y   Y   Y   Y   Y   Y   Y
SystemTesting                               listed  Y   Y   Y   Y   Y   Y   Y
TNCDisabledAutoUnconfigured                 class   Y   Y   Y   Y   Y   Y   Y
TNCDisabledAutoUnconfigured                 listed  Y   Y   Y   Y   Y   Y   Y
TNCHeartbeatConnectionFailure               class   Y   Y   Y   Y   Y   Y   Y
TNCHeartbeatConnectionFailure               listed  Y   Y   Y   Y   Y   Y   Y
TaskLocked                                  class   Y   Y   Y   Y   Y   Y   Y
TaskLocked                                  listed  Y   Y   Y   Y   Y   Y   Y
Test                                        class   Y   Y   Y   Y   Y   Y   Y
Test                                        listed  Y   Y   Y   Y   Y   Y   Y
TierJob                                     source  Y   Y   Y   Y   Y   Y   Y
TierJobComplete                             class   Y   Y   Y   Y   Y   Y   Y
TierJobComplete                             listed  Y   Y   Y   Y   Y   Y   Y
TierJobError                                class   Y   Y   Y   Y   Y   Y   Y
TierJobError                                listed  Y   Y   Y   Y   Y   Y   Y
TierSpecialVdevCritical                     class   Y   Y   Y   Y   Y   Y   Y
TierSpecialVdevCritical                     listed  Y   Y   Y   Y   Y   Y   Y
TierSpecialVdevWarning                      class   Y   Y   Y   Y   Y   Y   Y
TierSpecialVdevWarning                      listed  Y   Y   Y   Y   Y   Y   Y
TimezoneNotAvailable                        class   Y   Y   Y   Y   Y   Y   Y
TimezoneNotAvailable                        listed  Y   Y   Y   Y   Y   Y   Y
TrueNASMiniBMC                              class   .   Y   Y   .   .   .   .
TrueNASMiniBMC                              listed  .   Y   Y   .   .   .   .
TrueNASMiniBMC                              source  .   Y   Y   .   .   .   .
TrueNASVerifyServiceChangeDetection         class   Y   Y   Y   Y   Y   Y   Y
TrueNASVerifyServiceChangeDetection         listed  Y   Y   Y   Y   Y   Y   Y
TrueNASVerifyServiceChangeDetection         source  Y   Y   Y   Y   Y   Y   Y
TrueNASVersionsMismatch                     class   .   .   .   Y   Y   .   Y
TrueNASVersionsMismatch                     listed  .   .   .   .   .   .   Y
TruecommandConnectionDisabled               class   Y   Y   Y   Y   Y   Y   Y
TruecommandConnectionDisabled               listed  Y   Y   Y   Y   Y   Y   Y
TruecommandConnectionHealth                 class   Y   Y   Y   Y   Y   Y   Y
TruecommandConnectionHealth                 listed  Y   Y   Y   Y   Y   Y   Y
TruecommandConnectionPending                class   Y   Y   Y   Y   Y   Y   Y
TruecommandConnectionPending                listed  Y   Y   Y   Y   Y   Y   Y
TruecommandContainerHealth                  class   Y   Y   Y   Y   Y   Y   Y
TruecommandContainerHealth                  listed  Y   Y   Y   Y   Y   Y   Y
UPSBatteryLow                               class   Y   Y   Y   Y   Y   Y   Y
UPSBatteryLow                               listed  Y   Y   Y   Y   Y   Y   Y
UPSCommbad                                  class   Y   Y   Y   Y   Y   Y   Y
UPSCommbad                                  listed  Y   Y   Y   Y   Y   Y   Y
UPSCommok                                   class   Y   Y   Y   Y   Y   Y   Y
